,始発時分,時台,終点,阪急六甲,六甲登山口,篠原本町2丁目,篠原本町3丁目,護国神社前,五毛,五毛天神,観⾳寺,神戸高校前,⻘⾕橋,⻘⾕,籠池通3丁目,野崎通3丁目,野崎通5丁目,熊内5丁目,熊内6丁目,布引,加納町2丁目,加納町3丁目,地下鉄三宮駅前,三宮センター街東口,市役所前,三宮神社,
0,6:13,6,Mセンター前,5,6,6,7,9,10,14,17,20,28,34,38,39,38,44,44,39,40,40,10,0,,,
1,6:21,6,Mセンター前,4,5,5,5,6,8,10,13,14,18,21,28,32,33,37,38,35,35,35,6,0,,,
2,6:29,6,Mセンター前,1,2,3,4,4,6,7,8,10,12,19,23,24,26,31,31,29,30,30,8,0,,,
3,6:37,6,Mセンター前,6,6,7,7,9,11,14,14,15,17,25,29,33,35,41,42,42,45,45,12,0,,,
4,6:45,6,Mセンター前,8,8,9,10,11,13,17,18,16,17,22,25,26,27,33,35,32,32,33,13,0,,,
5,6:53,6,Mセンター前,5,5,7,7,9,13,16,19,20,23,29,40,41,44,48,49,47,50,50,9,0,,,
6,7:01,7,Mセンター前,10,11,11,12,13,15,21,26,21,24,30,34,36,38,46,46,39,40,40,9,0,,,
7,7:06,7,Mセンター前,11,12,13,13,14,16,19,20,15,18,20,27,27,31,34,35,30,31,31,9,0,,,
8,7:10,7,Mセンター前,3,4,4,4,6,8,10,13,12,14,16,20,22,23,27,28,25,27,26,8,0,,,
9,7:14,7,Mセンター前,14,15,15,16,17,19,21,23,18,22,21,26,28,29,33,36,30,31,32,9,0,,,
10,7:19,7,Mセンター前,19,21,21,23,22,25,28,29,23,26,25,30,31,33,37,39,32,34,34,10,0,,,
11,7:23,7,Mセンター前,17,18,19,18,19,21,23,23,16,18,16,19,18,20,23,24,19,21,21,6,0,,,
12,7:27,7,Mセンター前,24,25,26,26,26,28,30,31,20,22,21,25,26,28,33,35,28,30,31,9,0,,,
13,7:30,7,Mセンター前,25,26,26,26,26,28,31,31,21,23,19,22,20,20,24,26,23,24,25,7,0,,,
14,7:33,7,Mセンター前,23,24,24,24,24,27,29,31,23,25,22,25,24,25,28,29,24,26,26,8,0,,,
15,7:36,7,Mセンター前,20,21,21,22,23,25,29,31,23,25,21,25,26,27,31,31,27,29,29,10,0,,,
16,7:39,7,Mセンター前,18,19,20,20,22,25,29,30,24,26,22,26,26,27,31,31,28,30,31,11,0,,,
17,7:42,7,Mセンター前,28,28,27,26,28,30,34,34,25,27,21,23,24,25,27,29,27,28,28,10,0,,,
18,7:45,7,Mセンター前,28,29,29,29,29,32,34,35,25,27,19,23,22,23,27,31,29,31,31,12,0,,,
19,7:48,7,M神社,32,33,34,36,38,41,42,42,31,33,21,26,26,28,32,34,33,35,36,21,15,8,0,
20,7:51,7,M神社,30,32,33,34,35,38,39,39,28,30,17,21,22,23,26,27,26,27,29,15,10,6,0,
21,7:54,7,M神社,27,29,30,31,32,35,36,36,30,32,16,21,23,24,28,30,29,30,31,18,13,7,0,
22,7:57,7,M神社,29,30,31,32,33,35,38,38,32,34,17,20,20,22,26,27,25,25,26,15,10,6,0,
23,8:00,8,M神社,28,29,30,30,31,33,36,35,30,32,17,19,20,21,24,26,24,25,26,17,12,7,0,
24,8:02,8,M神社,18,19,20,20,21,23,25,24,23,24,13,15,15,16,19,21,19,21,21,16,11,7,0,
25,8:05,8,M神社,20,21,21,23,25,27,29,28,25,26,15,18,19,19,24,25,23,25,26,17,13,9,0,
26,8:08,8,M神社,13,14,16,17,18,21,23,25,24,23,16,20,21,22,26,27,26,28,30,15,11,7,0,
27,8:11,8,Mセンター前,11,12,13,13,14,16,19,21,21,22,17,20,19,20,22,23,21,22,22,9,0,,,
28,8:14,8,M神社,14,14,15,16,17,20,23,26,24,25,18,21,22,23,27,29,28,30,30,17,13,10,0,
29,8:17,8,Mセンター前,9,10,10,10,11,14,16,18,18,19,14,16,17,18,19,20,18,19,18,6,0,,,
30,8:20,8,M神社,8,9,10,10,11,14,16,17,16,17,14,17,17,17,18,21,19,21,21,12,9,8,0,
31,8:23,8,Mセンター前,20,21,21,21,22,23,24,25,24,23,13,15,15,16,17,18,16,17,16,5,0,,,
32,8:26,8,M神社,12,13,13,13,13,16,17,18,17,16,13,17,17,17,20,22,20,21,21,11,8,6,0,
33,8:30,8,M神社,15,16,17,17,18,20,22,23,22,21,18,20,19,19,22,23,19,20,20,7,5,4,0,
